team,position,player_name,depth_rank,is_starter,is_fantasy_relevant,last_updated
BUF,QB,Josh Allen,1,True,True,2025-12-05 08:34:53
BUF,RB,James Cook,1,True,True,2025-12-05 08:34:53
BUF,RB,Ty Johnson,2,False,True,2025-12-05 08:34:53
BUF,RB,Ray Davis,3,False,True,2025-12-05 08:34:53
BUF,WR,Khalil Shakir,1,True,True,2025-12-05 08:34:53
BUF,WR,Keon Coleman,2,False,True,2025-12-05 08:34:53
BUF,WR,Mack Hollins,3,False,True,2025-12-05 08:34:53
BUF,WR,Curtis Samuel,4,False,True,2025-12-05 08:34:53
BUF,TE,Dalton Kincaid,1,True,True,2025-12-05 08:34:53
BUF,TE,Dawson Knox,2,False,True,2025-12-05 08:34:53
MIA,QB,Tua Tagovailoa,1,True,True,2025-12-05 08:34:53
MIA,RB,De'Von Achane,1,True,True,2025-12-05 08:34:53
MIA,RB,Raheem Mostert,2,False,True,2025-12-05 08:34:53
MIA,RB,Jaylen Wright,3,False,True,2025-12-05 08:34:53
MIA,WR,Tyreek Hill,1,True,True,2025-12-05 08:34:53
MIA,WR,Jaylen Waddle,2,False,True,2025-12-05 08:34:53
MIA,WR,Odell Beckham Jr.,3,False,True,2025-12-05 08:34:53
MIA,WR,Malik Washington,4,False,True,2025-12-05 08:34:53
MIA,TE,Jonnu Smith,1,True,True,2025-12-05 08:34:53
MIA,TE,Durham Smythe,2,False,True,2025-12-05 08:34:53
NYJ,QB,Aaron Rodgers,1,True,True,2025-12-05 08:34:53
NYJ,RB,Breece Hall,1,True,True,2025-12-05 08:34:53
NYJ,RB,Braelon Allen,2,False,True,2025-12-05 08:34:53
NYJ,RB,Isaiah Davis,3,False,True,2025-12-05 08:34:53
NYJ,WR,Garrett Wilson,1,True,True,2025-12-05 08:34:53
NYJ,WR,Davante Adams,2,False,True,2025-12-05 08:34:53
NYJ,WR,Allen Lazard,3,False,True,2025-12-05 08:34:53
NYJ,WR,Mike Williams,4,False,True,2025-12-05 08:34:53
NYJ,TE,Tyler Conklin,1,True,True,2025-12-05 08:34:53
NYJ,TE,Jeremy Ruckert,2,False,True,2025-12-05 08:34:53
NE,QB,Drake Maye,1,True,True,2025-12-05 08:34:53
NE,RB,Rhamondre Stevenson,1,True,True,2025-12-05 08:34:53
NE,RB,Antonio Gibson,2,False,True,2025-12-05 08:34:53
NE,RB,JaMycal Hasty,3,False,True,2025-12-05 08:34:53
NE,WR,DeMario Douglas,1,True,True,2025-12-05 08:34:53
NE,WR,Kayshon Boutte,2,False,True,2025-12-05 08:34:53
NE,WR,Kendrick Bourne,3,False,True,2025-12-05 08:34:53
NE,WR,Ja'Lynn Polk,4,False,True,2025-12-05 08:34:53
NE,TE,Hunter Henry,1,True,True,2025-12-05 08:34:53
NE,TE,Austin Hooper,2,False,True,2025-12-05 08:34:53
BAL,QB,Lamar Jackson,1,True,True,2025-12-05 08:34:53
BAL,RB,Derrick Henry,1,True,True,2025-12-05 08:34:53
BAL,RB,Justice Hill,2,False,True,2025-12-05 08:34:53
BAL,RB,Keaton Mitchell,3,False,True,2025-12-05 08:34:53
BAL,WR,Zay Flowers,1,True,True,2025-12-05 08:34:53
BAL,WR,Rashod Bateman,2,False,True,2025-12-05 08:34:53
