Position,Name,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
QB,Josh Allen,10000,LAC@BUF 09/27/2026 1:00PM ET,BUF,38.24
QB,Bryce Young,10000,CAR@CLE 09/27/2026 1:00PM ET,CAR,27.76
QB,Patrick Mahomes,10000,KC@MIA 09/27/2026 1:00PM ET,KC,25.32
QB,Brock Purdy,10000,ARI@SF 09/27/2026 4:05PM ET,SF,24.79
QB,Jared Goff,9700,NYJ@DET 09/27/2026 1:00PM ET,DET,23.11
QB,Tyler Shough,9600,LV@NO 09/27/2026 4:25PM ET,NO,22.79
QB,Caleb Williams,9500,PHI@CHI 09/28/2026 8:15PM ET,CHI,22.49
QB,Dak Prescott,9400,BAL@DAL 09/27/2026 4:25PM ET,DAL,22.08
QB,Jalen Hurts,9100,PHI@CHI 09/28/2026 8:15PM ET,PHI,20.44
QB,Lamar Jackson,9000,BAL@DAL 09/27/2026 4:25PM ET,BAL,19.88
QB,Drew Lock,8400,SEA@WAS 09/27/2026 1:00PM ET,SEA,17.09
QB,Kirk Cousins,8400,LV@NO 09/27/2026 4:25PM ET,LV,17.01
QB,Deshaun Watson,8300,CAR@CLE 09/27/2026 1:00PM ET,CLE,16.86
QB,C.J. Stroud,8300,HOU@IND 09/27/2026 1:00PM ET,HOU,16.74
QB,Jordan Love,8300,ATL@GB 09/24/2026 8:15PM ET,GB,16.64
QB,Jayden Daniels,8200,SEA@WAS 09/27/2026 1:00PM ET,WAS,16.2
QB,Trevor Lawrence,8200,NE@JAX 09/27/2026 1:00PM ET,JAX,16.13
QB,Matthew Stafford,8100,LA@DEN 09/27/2026 8:20PM ET,LA,15.54
QB,Cam Ward,8100,TEN@NYG 09/27/2026 1:00PM ET,TEN,15.86
QB,Joe Burrow,8000,CIN@PIT 09/27/2026 1:00PM ET,CIN,15.17
QB,Malik Willis,7900,KC@MIA 09/27/2026 1:00PM ET,MIA,14.59
QB,Jaxson Dart,7700,TEN@NYG 09/27/2026 1:00PM ET,NYG,13.7
QB,Carson Wentz,7500,MIN@TB 09/27/2026 4:05PM ET,MIN,12.77
QB,Geno Smith,7400,NYJ@DET 09/27/2026 1:00PM ET,NYJ,12.44
