season,week,team,season_type,opponent_team,completions,attempts,passing_yards,passing_tds,passing_interceptions,sacks_suffered,sack_yards_lost,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_cpoe,passing_2pt_conversions,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,special_teams_tds,def_tackles_solo,def_tackles_with_assist,def_tackle_assists,def_tackles_for_loss,def_tackles_for_loss_yards,def_fumbles_forced,def_sacks,def_sack_yards,def_qb_hits,def_interceptions,def_interception_yards,def_pass_defended,def_tds,def_fumbles,def_safeties,misc_yards,fumble_recovery_own,fumble_recovery_yards_own,fumble_recovery_opp,fumble_recovery_yards_opp,fumble_recovery_tds,penalties,penalty_yards,timeouts,punt_returns,punt_return_yards,kickoff_returns,kickoff_return_yards,fg_made,fg_att,fg_missed,fg_blocked,fg_long,fg_pct,fg_made_0_19,fg_made_20_29,fg_made_30_39,fg_made_40_49,fg_made_50_59,fg_made_60_,fg_missed_0_19,fg_missed_20_29,fg_missed_30_39,fg_missed_40_49,fg_missed_50_59,fg_missed_60_,fg_made_list,fg_missed_list,fg_blocked_list,fg_made_distance,fg_missed_distance,fg_blocked_distance,pat_made,pat_att,pat_missed,pat_blocked,pat_pct,gwfg_made,gwfg_att,gwfg_missed,gwfg_blocked,gwfg_distance
2025,15,ARI,REG,HOU,27,40,249,3,1,2,-14,0,0,256,141,14,-1.7912137348465622,1.1547101171393144,0,21,72,0,0,0,6,2.5642983004800044,0,27,38,249,3,0,0,256,141,14,3.319175156633835,0,0,35,0,38,3,13,0,1.0,4.0,2,0,0,3,0,0,0,0,0,0,0,0,0,2,34,5,0,0,8,207,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,2,2,0,0,1.0,0,0,0,0,0
2025,15,ATL,REG,TB,30,44,373,3,0,1,-8,1,0,337,208,19,17.24538291011718,7.697924971580505,0,21,111,1,0,0,7,2.275740916840732,0,30,41,373,3,2,1,337,208,19,16.247408135241365,0,0,38,0,16,7,37,0,5.0,27.0,7,1,0,7,0,0,0,0,2,2,0,0,0,19,125,4,2,20,0,0,1,1,0,0,43.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,43,,,43,0,0,2,2,0,0,1.0,1,1,0,0,43
2025,15,BAL,REG,CIN,8,12,150,2,1,4,-22,1,0,129,62,6,0.07061650075562653,6.799069543679555,0,24,189,0,0,0,9,5.190075657563284,0,8,12,150,2,0,0,129,62,6,6.241941227531846,0,0,44,0,40,3,27,1,3.0,27.0,10,2,116,5,1,0,0,0,1,1,0,0,0,2,10,3,0,0,1,32,1,1,0,0,27.0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,27,,,27,0,0,3,3,0,0,1.0,0,0,0,0,0
2025,15,BUF,REG,NE,19,28,193,3,0,2,-12,0,0,270,102,11,9.454444676433923,10.389750966658958,0,37,168,2,0,0,9,3.453311008604942,0,19,26,193,3,0,0,270,102,11,13.647619656723691,0,0,34,1,19,5,23,1,3.0,16.0,5,1,0,3,0,0,0,0,0,0,0,0,0,2,15,2,1,12,4,164,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,5,5,0,0,1.0,0,0,0,0,0
2025,15,CAR,REG,NO,15,24,163,1,0,1,-9,0,0,205,50,7,7.697387703885038,7.088887244462967,0,31,127,1,0,0,8,-1.5165336000500247,0,15,20,163,1,1,1,205,50,7,11.2017925027918,0,0,38,0,32,3,19,1,5.0,16.0,6,0,0,3,0,0,0,0,0,0,0,0,0,11,103,4,1,16,4,98,1,1,0,0,40.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,40,,,40,0,0,2,2,0,0,1.0,0,0,0,0,0
2025,15,CHI,REG,CLE,17,28,242,2,0,3,-23,0,0,275,110,12,3.2869350548322878,1.4367245965533786,0,33,142,2,1,0,9,-0.005936526053119451,0,17,27,242,2,0,0,275,110,12,10.226408899655734,0,0,31,0,24,8,43,0,5.0,35.0,15,3,32,6,0,0,0,0,1,2,0,0,0,4,25,2,3,45,2,82,1,2,1,0,41.0,0.5,0,0,0,1,0,0,0,0,1,0,0,0,41,35,,41,35,0,4,4,0,0,1.0,0,0,0,0,0
2025,15,CIN,REG,BAL,25,39,225,0,2,3,-27,0,0,284,108,10,-13.749246517487336,2.6324328035116196,0,29,100,0,1,0,6,-8.196889517595991,0,25,36,225,0,0,0,284,108,10,-5.832843024865724,0,0,25,0,16,5,23,1,4.0,22.0,5,1,0,1,0,0,0,0,1,1,0,0,0,4,30,2,1,-2,5,110,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,,0,0,0,0,0
2025,15,CLE,REG,CHI,18,35,177,0,3,5,-35,0,0,303,59,7,-22.947253412075973,-4.563810315824324,0,16,50,0,0,0,2,-3.1512537349481136,0,18,31,177,0,0,0,303,59,7,-10.688643145698755,0,0,30,1,45,6,24,0,3.0,23.0,7,0,0,4,0,0,0,0,0,0,0,0,0,6,21,3,1,0,4,86,1,1,0,0,50.0,1.0,0,0,0,0,1,0,0,0,0,0,0,0,50,,,50,0,0,0,0,0,0,,0,0,0,0,0
2025,15,DAL,REG,MIN,23,38,294,0,0,2,-9,0,0,276,157,12,0.9589329863363227,-4.063695073127747,0,29,138,2,0,0,12,6.7209679124935064,0,23,35,294,0,0,0,276,157,12,6.155552569277973,0,0,30,1,27,5,11,0,0.0,0.0,1,1,0,3,0,0,0,0,0,0,0,0,0,7,58,6,0,0,4,124,4,6,2,0,41.0,0.6666666666666666,0,1,1,2,0,0,0,0,0,0,2,0,37;26;41;41,51;59,,145,110,0,2,2,0,0,1.0,0,0,0,0,0
2025,15,DEN,REG,GB,23,34,302,4,0,0,0,0,0,323,107,15,20.588175864482764,8.582598064094782,0,31,89,1,1,1,4,-12.025664665867108,0,23,32,302,4,0,0,323,107,15,21.587368149368558,0,0,34,0,24,5,24,0,3.0,29.0,15,2,0,5,0,0,0,0,0,0,0,0,0,6,60,5,0,0,6,178,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,4,4,0,0,1.0,0,0,0,0,0
